spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Foresight,FALSE,divination,"buff, debuff",9,1 minute,Touch,"V, S, M (a hummingbird feather)",8 hours,"You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target has Advantage on D20 Tests, and other creatures have Disadvantage on attack rolls against it. The spell ends early if you cast it again.","Bard, Druid, Warlock, Wizard",Player's Handbook 2024
Fount of Moonlight,FALSE,evocation,"damage, radiant, buff, debuff, creation",4,Action,Self,"V, S","Concentration, up to 10 minutes","A cool light wreathes your body for the duration, emitting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.\nUntil the spell ends, you have Resistance to Radiant damage, and your melee attacks deal an extra 2d6 Radiant damage on a hit.\nIn addition, immediately after you take damage from a creature you can see within 60 feet of yourself, you can take a Reaction to force the creature to make a Constitution saving throw. On a failed save, the creature has the Blinded condition until the end of your next turn.","Bard, Druid",Player's Handbook 2024
Freedom of Movement,FALSE,abjuration,"buff, movement",4,Action,Touch,"V, S, M (a leather strap)",1 hour,"You touch a willing creature. For the duration, the target's movement is unaffected by Difficult Terrain, and spells and other magical effects can neither reduce the target's Speed nor cause the target to have the Paralyzed or Restrained conditions. The target also has a Swim Speed equal to its Speed.\nIn addition, the target can spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature imposing the Grappled condition on it.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.","Bard, Cleric, Druid, Ranger",Player's Handbook 2024
Friends,FALSE,enchantment,social,0,Action,10 feet,"S, M (some makeup)","Concentration, up to 1 minute","You magically emanate a sense of friendship toward one creature you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target succeeds automatically if it isn't a Humanoid, if you're fighting it, or if you have cast this spell on it within the past 24 hours.\nThe spell ends early if the target takes damage or if you make an attack roll, deal damage, or force anyone to make a saving throw. When the spell ends, the target knows it was Charmed by you.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Gaseous Form,FALSE,transmutation,"buff, utility",3,Action,Touch,"V, S, M (a bit of gauze)","Concentration, up to 1 hour","A willing creature you touch shape-shifts, along with everything it's wearing and carrying, into a misty cloud for the duration. The spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.\nWhile in this form, the target's only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.\nThe target can't talk or manipulate objects, and any objects it was carrying or holding can't be dropped, used, or otherwise interacted with. Finally, the target can't attack or cast spells.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.","Sorcerer, Warlock, Wizard",Player's Handbook 2024
Gate,FALSE,conjuration,teleportation,9,Action,60 feet,"V, S, M (a diamond worth 5,000+ GP)","Concentration, up to 1 minute","You conjure a portal linking an unoccupied space you can see within range to a precise location on a different plane of existence. The portal is a circular opening, which you can make 5 to 20 feet in diameter. You can orient the portal in any direction you choose. The portal lasts for the duration, and the portal's destination is visible through it.\nThe portal has a front and a back on each plane where it appears. Travel through the portal is possible only by moving through its front. Anything that does so is instantly transported to the other plane, appearing in the unoccupied space nearest to the portal.\nDeities and other planar rulers can prevent portals created by this spell from opening in their presence or anywhere within their domains.\nWhen you cast this spell, you can speak the name of a specific creature (a pseudonym, title, or nickname doesn't work). If that creature is on a plane other than the one you are on, the portal opens next to the named creature and transports it to the nearest unoccupied space on your side of the portal. You gain no special power over the creature, and it is free to act as the DM deems appropriate. It might leave, attack you, or help you.","Cleric, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Geas,FALSE,enchantment,"control, damage, psychic",5,1 minute,60 feet,V,30 days,"You give a verbal command to a creature that you can see within range, ordering it to carry out some service or refrain from an action or a course of activity as you decide. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target automatically succeeds if it can't understand your command.\nWhile Charmed, the creature takes 5d10 Psychic damage if it acts in a manner directly counter to your command. It takes this damage no more than once each day.\nYou can issue any command you choose, short of an activity that would result in certain death. Should you issue a suicidal command, the spell ends.\nA Remove Curse, Greater Restoration, or Wish spell ends this spell.\nUsing a Higher-Level Spell Slot. If you use a level 7 or 8 spell slot, the duration is 365 days. If you use a level 9 spell slot, the spell lasts until it is ended by one of the spells mentioned above.","Bard, Cleric, Druid, Paladin, Wizard",Player's Handbook 2024
Gentle Repose,TRUE,necromancy,utility,2,Action or Ritual,Touch,"V, S, M (2 copper pieces, which the spell consume)",10 days,"You touch a corpse or other remains. For the duration, the target is protected from decay and can't become Undead.\nThe spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don't count against the time limit of spells such as Raise Dead.","Cleric, Paladin, Wizard",Player's Handbook 2024
Giant Insect,FALSE,conjuration,"summoning, damage",4,Action,60 feet,"V, S","Concentration, up to 10 minutes","You summon a giant centipede, spider, or wasp (chosen when you cast the spell). It manifests in an unoccupied space you can see within range and uses the Giant Insect stat block. The form you choose determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.\nThe creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger.\nUsing a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.",Druid,Player's Handbook 2024
Glibness,FALSE,enchantment,social,8,Action,Self,V,1 hour,"Until the spell ends, when you make a Charisma check, you can replace the number you roll with a 15. Additionally, no matter what you say, magic that would determine if you are telling the truth indicates that you are being truthful.","Bard, Warlock",Player's Handbook 2024
